PAGE_NAME,CATEGORY_NAME,CATEGORY_URL,CATEGORY_ID
Falabella,Living,https://www.falabella.com.ar/falabella-ar/category/cat30046/Muebles-de-living,cat30046
Falabella,Comedor,https://www.falabella.com.ar/falabella-ar/category/cat30052/Muebles-de-comedor,cat30052
Falabella,Muebles de jardín,https://www.falabella.com.ar/falabella-ar/category/cat2830001/Muebles-de-jardin,cat2830001
