PAGE_NAME,CATEGORY_NAME,CATEGORY_URL,CATEGORY_ID
Sodimac,Muebles de dormitorio,https://www.sodimac.com.ar/sodimac-ar/landing/cat20044/Muebles-de-dormitorio,cat20044
Sodimac,Muebles de oficina y escritorio,https://www.sodimac.com.ar/sodimac-ar/category/cat20004/Muebles-de-oficina-y-escritorio,cat20004
Sodimac,Muebles de comedor,https://www.sodimac.com.ar/sodimac-ar/category/cat20016/Muebles-de-comedor,cat20016
Sodimac,Muebles de living y sala de estar,https://www.sodimac.com.ar/sodimac-ar/category/cat20028/Muebles-de-living-y-sala-de-estar,cat20028
Sodimac,Camas y colchones,https://www.sodimac.com.ar/sodimac-ar/landing/cat20058/Camas-y-colchones,cat20058
Sodimac,Organización,https://www.sodimac.com.ar/sodimac-ar/landing/cat2960006/Organizacion,cat2960006
Sodimac,Muebles de exterior,https://www.sodimac.com.ar/sodimac-ar/landing/cat20278/Muebles-de-exterior,cat20278
